Name,Score,Genres,Type,Episodes,Duration,Popularity,Members,summary,embedding,weighted_score,English name,Name_cleaned,English_name_cleaned
One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Unknown,24 min.,31,1352724,"Genre: Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen and the synopsis is Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King. Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.","[[ 0.00779738 -0.033752   -0.02430454 ... -0.01029514 -0.00252363
  -0.00476902]]",676366.0815507645,One Piece,one piece,one piece
Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,22 min. per ep.,1039,141832,"Genre: Action, Comedy, Sports, School, Shounen and the synopsis is The world of tennis is harsh and highly competitive. Numerous schools from Japan battle it out to determine the best of the best. Seishun Gakuen Junior High School, more commonly known as Seigaku, is one of the most prominent contestants in this battle of the finest. Their team line-up gets even stronger with the sudden arrival of a young prodigy from the West, Ryouma Echizen, who is determined to prove himself and escape the towering shadow of his legendary father. This fine addition changes the team forever. Prince of Tennis follows the heartwarming and inspirational story of Ryouma on his quest to become one of the best tennis players the country has ever seen. He pushes himself hard so that he can one day surpass his father’s name and his own personal expectations. Alongside the rest of the Seigaku team, Ryouma fights to make his and his teammate's dreams come true.","[[ 0.00865317 -0.02003134 -0.01200046 ... -0.00029846 -0.01026459
  -0.01615346]]",70919.94562809503,The Prince of Tennis,tennis no oujisama,the prince of tennis
School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,23 min. per ep.,514,275464,"Genre: Comedy, Romance, School, Shounen and the synopsis is Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight. School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire.","[[ 0.00906094 -0.01772936 -0.0311932  ... -0.01805647 -0.00911328
  -0.03072216]]",137735.96094567847,School Rumble,school rumble,school rumble
Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,24 min. per ep.,1284,111734,"Genre: Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen and the synopsis is The Great Kanto Desert, a sweltering wasteland of nothing but ruins and sand, is all that remains of post-apocalyptic Japan. The once fair population has been left to cling to the inhospitable dunes for survival. At least, that is the case for normal people. For those who have spent a little too long in the Kanto sun, the desert offers a wondrous opportunity to make a name for themselves. One such person is the masked handyman ""Sunabouzu,"" or Desert Punk, who has forged a legendary reputation for always finishing his jobs, no matter the nature or cost. Cunning and ruthless, he has become a force of crude destruction to the other desert people. However, the ""Vixen of the Desert,"" Junko Asagiri, discovers that Sunabouzu is not without his weaknesses—he is easily swayed by his insatiable lust for large-breasted desert babes. Following their chaotic adventures through the Kanto Desert, Sunabouzu features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. And just like them, they have not learned a damn thing.","[[ 0.00364985 -0.00980495  0.00817079 ... -0.01979898 -0.00797497
  -0.02903671]]",55870.70781067101,Desert Punk,sunabouzu,desert punk
Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,23 min. per ep.,823,182599,"Genre: Action, Sci-Fi, Psychological, Drama and the synopsis is Texhnolyze takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City.","[[ 0.00397269 -0.02034179 -0.01530723 ...  0.00574021 -0.03378991
  -0.03984223]]",91303.3751044988,Texhnolyze,texhnolyze,texhnolyze
Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,24,24 min. per ep.,936,158343,"Genre: Action, Supernatural, Vampire and the synopsis is Following Armageddon, an apocalyptic war, mankind faces yet another menace: vampires. The continuous confrontations between the races have split the world into separate factions. The race of vampires, Methuselah, are affiliated with the New Human Empire; whereas the humans, deemed Terrans by the vampires, make up the Vatican Papal State. Furthermore, extremist groups like the Rosenkreuz Order strive to rekindle a war, despite the factions' attempts to avoid direct conflict. To combat terrorist organizations, the Vatican has implemented the AX unit. Led by Cardinal Caterina Sforza, the AX agents investigate vampire-related disturbances with hopes that the Terrans and the Methuselah will one day achieve a peaceful coexistence. Amongst the AX unit is priest Abel Nightroad—a seemingly disoriented but gentle-hearted fellow, and a fierce vampire slayer on the battlefield. Joining the unit as his partner is a new agent, Sister Esther Blanchett, a brave and gentle young nun troubled with a tragic past. As the two grow closer, they begin to uncover signs of malicious schemes and dark forces working in the shadows. But the path they walk is riddled with misfortune that might just force them to confront the memories that plague their hearts.","[[ 0.00133576 -0.03292493 -0.02948543 ... -0.00454902 -0.02013774
  -0.02198232]]",79175.15738885937,Trinity Blood,trinity blood,trinity blood
Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,24 min. per ep.,1666,80183,"Genre: Comedy, Shounen and the synopsis is hile countries such as France, England, and Germany all have their own internationally celebrated bread, Japan simply does not have one that can match in reputation. Thus after discovering the wonders of breadmaking at a young age, Kazuma Azuma embarks on a quest to create Japan's own unique national bread. And being blessed with unusually warm hands that allow dough to ferment faster, Azuma is able to bring his baking innovations to another level. As he begins working at the prestigious Japanese bakery chain, Pantasia, Azuma encounters other talented bakers and experiences firsthand the competitive world of baking. Along with his newfound friends and rivals, Azuma strives to create new and unparalleled bread that will start a baking revolution.","[[ 0.02428368 -0.02118532 -0.00034571 ...  0.01844447 -0.01603464
  -0.03471745]]",40095.47215753685,Yakitate!! Japan,yakitate japan,yakitate japan
Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,24 min. per ep.,3985,16652,"Genre: Action, Military, Sci-Fi, Historical, Drama, Seinen and the synopsis is ai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942—The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain anonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined. (Source: ANN)","[[-0.01417228 -0.03412197 -0.02491338 ... -0.00964257 -0.02433021
  -0.00175797]]",8329.754209815761,Unknown,zipang,unknown
Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,24 min. per ep.,54,1160651,"Genre: Action, Sci-Fi, Dementia, Psychological, Drama, Mecha and the synopsis is In the year 2015, the world stands on the brink of destruction. Humanity's last hope lies in the hands of Nerv, a special agency under the United Nations, and their Evangelions, giant machines capable of defeating the Angels who herald Earth's ruin. Gendou Ikari, head of the organization, seeks compatible pilots who can synchronize with the Evangelions and realize their true potential. Aiding in this defensive endeavor are talented personnel Misato Katsuragi, Head of Tactical Operations, and Ritsuko Akagi, Chief Scientist. Face to face with his father for the first time in years, 14-year-old Shinji Ikari's average life is irreversibly changed when he is whisked away into the depths of Nerv, and into a harrowing new destiny—he must become the pilot of Evangelion Unit-01 with the fate of mankind on his shoulders. Written by Hideaki Anno, Neon Genesis Evangelion is a heroic tale of a young boy who will become a legend. But as this psychological drama unfolds, ancient secrets beneath the big picture begin to bubble to the surface...","[[-0.00430542 -0.03854316 -0.02260102 ... -0.00269783 -0.01564184
  -0.02945575]]",580329.560407364,Neon Genesis Evangelion,neon genesis evangelion,neon genesis evangelion
Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,1 hr. 44 min.,833,180681,"Genre: Drama, Mecha, Psychological, Sci-Fi and the synopsis is In the year 2015, more than a decade has passed since the catastrophic event known as Second Impact befell mankind. During this time of recovery, a select few learned of beings known as the Angels—colossal malevolent entities with the intention of triggering the Third Impact and wiping out the rest of humanity. Called into the city of Tokyo-3 by his father Gendou Ikari, teenager Shinji is thrust headlong into humanity's struggle. Separated from Gendou since the death of his mother, Shinji presumes that his father wishes to repair their shattered familial bonds; instead, he discovers that he was brought to pilot a giant machine capable of fighting the Angels, Evangelion Unit-01. Forced to battle against wave after wave of mankind's greatest threat, the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever.","[[ 0.00025122 -0.03803316 -0.03028281 ...  0.00329775 -0.01520556
  -0.01843915]]",90344.22150564486,Neon Genesis Evangelion:Death & Rebirth,neon genesis evangelion death & rebirth,neon genesis evangeliondeath & rebirth
Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,1 hr. 27 min.,195,572080,"Genre: Sci-Fi, Dementia, Psychological, Drama, Mecha and the synopsis is h the final Angel vanquished, Nerv has one last enemy left to face—the humans under Seele's command. Left in a deep depression nearing the end of the original series, an indecisive Shinji Ikari struggles with the ultimatum presented to him: to completely accept mankind's existence, or renounce humanity's individuality. Meanwhile, at the core of a compromised Nerv, Gendou Ikari and Rei Ayanami approach Lilith in an attempt to realize their own ideals concerning the future of the world. The End of Evangelion serves as an alternate ending to the polarizing final episodes of Neon Genesis Evangelion . With the fate of the universe hanging in the balance, the climactic final battle draws near.","[[ 0.00688984 -0.03055958 -0.02518311 ...  0.007235   -0.00221199
  -0.03233846]]",286044.2214097452,Neon Genesis Evangelion:The End of Evangelion,neon genesis evangelion the end of evangelion,neon genesis evangelionthe end of evangelion
Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,25 min. per ep.,301,432190,"Genre: Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural and the synopsis is Born from the corpse of his mother, a young mercenary known only as Guts, embraces the battlefield as his only means of survival. Day in and day out, putting his life on the line just to make enough to get by, he moves from one bloodshed to the next. After a run-in with the Band of the Hawk, a formidable troop of mercenaries, Guts is recruited by their charismatic leader Griffith, nicknamed the ""White Hawk."" As he quickly climbed the ranks in order to become the head of the offensive faction, Guts proves to be a mighty addition to Griffith's force, taking Midland by storm. However, while the band's quest for recognition continues, Guts slowly realizes that the world is not as black-and-white as he once assumed. Set in the medieval era, Kenpuu Denki Berserk is a dark, gritty tale that follows one man's struggle to find his own path, while supporting another's lust for power, and the unimaginable tragedy that begins to turn the wheels of fate.","[[ 0.00836196 -0.03365936 -0.01267845 ... -0.01894496 -0.00517913
  -0.00663668]]",216099.22319567687,Berserk,kenpuu denki berserk,berserk
Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,1 hr. 22 min.,265,468279,"Genre: Action, Mecha, Police, Psychological, Sci-Fi, Seinen and the synopsis is In the year 2029, Niihama City has become a technologically advanced metropolis. Due to great improvements in cybernetics, its citizens are able to replace their limbs with robotic parts. The world is now more interconnected than ever before, and the city's Public Security Section 9 is responsible for combating corruption, terrorism, and other dangerous threats following this shift towards globalization. The strong-willed Major Motoko Kusanagi of Section 9 spearheads a case involving a mysterious hacker known only as the ""Puppet Master,"" who leaves a trail of victims stripped of their memories. Like many in this futuristic world, the Puppet Master's body is almost entirely robotic, giving them incredible power. As Motoko and her subordinates follow the enigmatic criminal's trail, other parties—including Section 6—start to get involved, forcing her to confront the extremely complicated nature of the case. Pondering about various philosophical questions, such as her own life's meaning, Motoko soon realizes that the one who will provide these answers is none other than the Puppet Master themself.","[[ 0.01301762 -0.02565197 -0.01555506 ... -0.00586123 -0.01691629
  -0.02373567]]",234143.62298649648,Ghost in the Shell,koukaku kidoutai,ghost in the shell
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,30 min. per ep.,637,228484,"Genre: Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen and the synopsis is hen mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute. Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions.","[[ 0.00054119 -0.02623311 -0.00608561 ... -0.0100639  -0.00258491
  -0.00918421]]",114246.35321096925,Samurai X:Trust and Betrayal,rurouni kenshin meiji kenkaku romantan  tsuiokuhen,samurai xtrust and betrayal
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,25 min. per ep.,345,386195,"Genre: Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen and the synopsis is In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans. Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels. Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals?","[[-0.01673033 -0.02412066 -0.01727045 ... -0.01148729  0.00580951
  -0.01630878]]",193101.63777893514,Rurouni Kenshin,rurouni kenshin meiji kenkaku romantan,rurouni kenshin
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,1,1 hr. 31 min.,2411,44334,"Genre: Samurai, Historical, Drama, Shounen and the synopsis is The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta. (Source: ANN)","[[-0.00207708 -0.02505503 -0.03149107 ... -0.01246251  0.01151335
  -0.00142373]]",22170.778620243836,Samurai X:The Motion Picture,rurouni kenshin meiji kenkaku romantan  ishinshishi e no chinkonka,samurai xthe motion picture
Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,2 hr. 4 min.,197,566538,"Genre: Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen and the synopsis is Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns."" During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.","[[-0.01090682 -0.0286809  -0.02851931 ...  0.00451085 -0.01240819
  -0.02384689]]",283273.05779696134,AKIRA,akira,akira
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,24 min. per ep.,940,158227,"Genre: Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy and the synopsis is oung wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the Crimson Knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way. As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.","[[ 0.03013494 -0.02142511 -0.00413314 ... -0.02649241 -0.01359567
  -0.01051766]]",79116.98870636271,.hack//Sign,hacksign,hacksign
